workload,source,target,logical_bytes,logical_bytes_read,logical_bytes_written,normalized_weight,critical,measured_or_derived,derivation
PLONK-KZG-TestCircuit,MEMORY,MSM,453408,452880,528,0.22317603326612903,False,DERIVED,effective_pairs * (48-byte G1Affine + 32-byte Scalar) + one 48-byte G1Affine output per KZG commitment
PLONK-KZG-TestCircuit,MEMORY,NTT_FFT,2031616,1015808,1015808,1.0,False,DERIVED,transform_elements * 32-byte Scalar * (one logical read + one logical write)
