proof_system,steps,runs,msm_calls_per_run,msm_effective_pairs_per_run,fft_ifft_calls_per_run,fft_ifft_elements_per_run,prove_ms_mean,prove_ms_std,prove_ms_min,prove_ms_max,all_valid
Groth16,16384,3,5,98307,7,229376,422.667,71.988,356,499,True
Groth16,65536,3,5,393219,7,917504,1227.333,3.215,1225,1231,True
